Cluster.number	genenames
Cluster 10	Grwd1
Cluster 10	Guk1
Cluster 10	Gzmm
Cluster 10	H2afz
Cluster 10	Hdhd2
Cluster 10	Hdhd3
Cluster 10	Hebp1
Cluster 10	Hebp2
Cluster 10	Hexim2
Cluster 10	Hmgb2
Cluster 10	Hn1
Cluster 10	Hsd17b10
Cluster 10	Hspb2
Cluster 10	Ivd
Cluster 10	Krtcap2
Cluster 10	Lamtor4
Cluster 10	Lin37
Cluster 10	Lin7b
Cluster 10	Lman2
Cluster 10	LOC100125368
Cluster 10	LOC100233176
Cluster 10	LOC100911483
Cluster 10	LOC288913
Cluster 10	LOC691807
Cluster 10	LOC691921
Cluster 10	Lrpap1
Cluster 10	Lsm10
Cluster 10	Lsm4
Cluster 10	Lurap1
Cluster 10	Map4k1
Cluster 10	Mdk
Cluster 10	Mea1
Cluster 10	Med10
Cluster 10	Med27
Cluster 10	Med29
Cluster 10	Mef2bnb
Cluster 10	MGC116121
Cluster 10	Mien1
Cluster 10	Mif
Cluster 10	Minos1
Cluster 10	Mir207
Cluster 10	Mir22
Cluster 10	Mkks
Cluster 10	Mmp28
Cluster 10	Morn4
Cluster 10	Morn5
Cluster 10	Mphosph8
Cluster 10	Mrp63
Cluster 10	Mrpl14
Cluster 10	Mrpl15
Cluster 10	Mrpl17
Cluster 10	Mrpl27
Cluster 10	Mrpl34
Cluster 10	Mrpl52
Cluster 10	Mrps23
Cluster 10	Mt1a
Cluster 10	Mtfp1
Cluster 10	Myg1
Cluster 10	Mzt2b
Cluster 10	N6amt1
Cluster 10	Naa38
Cluster 10	Nabp2
Cluster 10	Ndufa12
Cluster 10	Ndufa7
Cluster 10	Ndufaf3
Cluster 10	Ndufb10
Cluster 10	Ndufb11
Cluster 10	Ndufb4
Cluster 10	Ndufb5
Cluster 10	Ndufb7
Cluster 10	Ndufb8
Cluster 10	Ndufb9
Cluster 10	Ndufs7
Cluster 10	Ndufs8
Cluster 10	Ndufv3
Cluster 10	Ngfrap1
Cluster 10	Nkain4
Cluster 10	Nme1
Cluster 10	Nme2
Cluster 10	Nme3
Cluster 10	Nmi
Cluster 10	Nop16
Cluster 10	Nppa
Cluster 10	Nrn1l
Cluster 10	Ntmt1
Cluster 10	Ntpcr
Cluster 10	Nudc
Cluster 10	Nudt15
Cluster 10	Nudt16l1
Cluster 10	Otos
Cluster 10	Pafah1b3
Cluster 10	Pam16
Cluster 10	Park7
Cluster 10	Pdlim1
Cluster 10	Pdlim3
Cluster 10	Pdlim7
Cluster 10	Pdrg1
Cluster 10	Pdxk
Cluster 10	Pepd
Cluster 10	Pex11g
Cluster 10	Pex16
Cluster 10	Pf4
Cluster 10	Pfdn2
Cluster 10	Pfn2
Cluster 10	Pin1
Cluster 10	Plgrkt
Cluster 10	Pmm1
Cluster 10	Pmvk
Cluster 10	Polr2f
Cluster 10	Polr3h
Cluster 10	Prdx2
Cluster 10	Prdx5
Cluster 10	Psmb10
Cluster 10	Psmb5
Cluster 10	Psmc3
Cluster 10	Psmd12
Cluster 10	Psmd9
Cluster 10	Psme1
Cluster 10	Ptk2b
Cluster 10	Ptma
Cluster 10	Ptrhd1
Cluster 10	Rab20
Cluster 10	Rab24
Cluster 10	Rabac1
Cluster 10	Rabepk
Cluster 10	Rbks
Cluster 10	RGD1303003
Cluster 10	RGD1304587
Cluster 10	RGD1305587
Cluster 10	RGD1310852
Cluster 10	RGD1311703
Cluster 10	RGD1311899
Cluster 10	RGD1562987
Cluster 10	RGD1563348
Cluster 10	RGD1563941
Cluster 10	RGD1564036
Cluster 10	RGD1564450
Cluster 10	RGD1566239
Cluster 10	Rhoc
Cluster 10	Rnaseh2a
Cluster 10	Rnf7
Cluster 10	Rnh1
Cluster 10	Rpl10a
Cluster 10	Rpl13
Cluster 10	Rpl15
Cluster 10	Rpl18a
Cluster 10	Rpl35
Cluster 10	Rpl36
Cluster 10	Rplp1
Cluster 10	Rpp21
Cluster 10	Rps13
Cluster 10	Rps15
Cluster 10	Rps19bp1
Cluster 10	Rps21
Cluster 10	Rps29
Cluster 10	Rsph9
Cluster 10	S100a1
Cluster 10	Samm50
Cluster 10	Sap18
Cluster 10	Sdhb
Cluster 10	Sec61b
Cluster 10	Selm
Cluster 10	Serf2
Cluster 10	Sf3b5
Cluster 10	Sft2d1
