Cluster.number	genenames
Cluster 12	Atp5c1
Cluster 12	Atp5g1
Cluster 12	Atp5j2
Cluster 12	Atp5l
Cluster 12	Atp5o
Cluster 12	Atp6ap1l
Cluster 12	Atp6v1d
Cluster 12	Atp6v1e1
Cluster 12	Auh
Cluster 12	Aurkaip1
Cluster 12	B4galt4
Cluster 12	B9d1
Cluster 12	Banf1
Cluster 12	Bbx
Cluster 12	Bcap31
Cluster 12	Bdh1
Cluster 12	Bdh2
Cluster 12	Bend5
Cluster 12	Bfsp2
Cluster 12	Bloc1s2
Cluster 12	Bloc1s6
Cluster 12	Blvra
Cluster 12	Bpgm
Cluster 12	C1d
Cluster 12	Cachd1
Cluster 12	Cald1
Cluster 12	Calm1
Cluster 12	Camlg
Cluster 12	Capg
Cluster 12	Capza2
Cluster 12	Car14
Cluster 12	Car2
Cluster 12	Car5b
Cluster 12	Casq2
Cluster 12	Cbln4
Cluster 12	Ccdc126
Cluster 12	Ccdc148
Cluster 12	Ccdc167
Cluster 12	Ccdc174
Cluster 12	Ccdc181
Cluster 12	Ccdc77
Cluster 12	Ccdc81
Cluster 12	Ccdc86
Cluster 12	Ccl24
Cluster 12	Ccl6
Cluster 12	Ccna1
Cluster 12	Ccnb1
Cluster 12	Cct2
Cluster 12	Cct3
Cluster 12	Cct7
Cluster 12	Cct8
Cluster 12	Cd1d1
Cluster 12	Cd59
Cluster 12	Cd63
Cluster 12	Cd83
Cluster 12	Cdadc1
Cluster 12	Cdc26
Cluster 12	Cdc42
Cluster 12	Cdk5rap2
Cluster 12	Cdo1
Cluster 12	Cfb
Cluster 12	Chchd3
Cluster 12	Chchd4
Cluster 12	Chgb
Cluster 12	Chi3l1
Cluster 12	Chmp2a
Cluster 12	Chmp3
Cluster 12	Chn1
Cluster 12	Cldn10
Cluster 12	Clec10a
Cluster 12	Clec1a
Cluster 12	Clec1b
Cluster 12	Clic1
Cluster 12	Clns1a
Cluster 12	Cnbp
Cluster 12	Cnn3
Cluster 12	Coa7
Cluster 12	Commd10
Cluster 12	Commd2
Cluster 12	Commd3
Cluster 12	Commd4
Cluster 12	Commd8
Cluster 12	Coq3
Cluster 12	Cox16
Cluster 12	Cox6a1
Cluster 12	Cox7a2l
Cluster 12	Cpe
Cluster 12	Cradd
Cluster 12	Crcp
Cluster 12	Cript
Cluster 12	Cryab
Cluster 12	Cryl1
Cluster 12	Cryzl1
Cluster 12	Cstb
Cluster 12	Ctdspl2
Cluster 12	Ctps2
Cluster 12	Ctsh
Cluster 12	Ctsl
Cluster 12	Ctss
Cluster 12	Cul4a
Cluster 12	Cutc
Cluster 12	Cwc27
Cluster 12	Cycs
Cluster 12	Cyp2j10
Cluster 12	Cyth2
Cluster 12	Cytl1
Cluster 12	Dad1
Cluster 12	Dcps
Cluster 12	Dctn6
Cluster 12	Ddit3
Cluster 12	Ddx1
Cluster 12	Ddx25
Cluster 12	Ddx31
Cluster 12	Ddx39a
Cluster 12	Decr2
Cluster 12	Dld
Cluster 12	Dmap1
Cluster 12	Dnajc7
Cluster 12	Dok5
Cluster 12	Dph5
Cluster 12	Dstn
Cluster 12	Dtd1
Cluster 12	Dusp22
Cluster 12	Dync1i1
Cluster 12	Dync2li1
Cluster 12	Dynlrb1
Cluster 12	Dynlt3
Cluster 12	Echdc1
Cluster 12	Echdc2
Cluster 12	Eci1
Cluster 12	Eci3
Cluster 12	Eed
Cluster 12	Eepd1
Cluster 12	Ehmt1
Cluster 12	Eif1ad
Cluster 12	Eif2ak2
Cluster 12	Eif2b1
Cluster 12	Eif2s3y
Cluster 12	Eif3m
Cluster 12	Eif4a3
Cluster 12	Eif4e
Cluster 12	Elovl4
Cluster 12	Elp2
Cluster 12	Emc3
Cluster 12	Emc7
Cluster 12	Emcn
Cluster 12	Emp3
Cluster 12	Ensa
Cluster 12	Ercc3
Cluster 12	Ergic2
Cluster 12	Erh
Cluster 12	Evi2a
Cluster 12	Exosc7
Cluster 12	F11r
Cluster 12	Fah
Cluster 12	Fahd1
Cluster 12	Fam105a
Cluster 12	Fam118a
Cluster 12	Fam118b
Cluster 12	Fam13a
Cluster 12	Fam188a
Cluster 12	Fam213a
Cluster 12	Fam32a
Cluster 12	Fam3c
Cluster 12	Fam45a
Cluster 12	Fars2
Cluster 12	Fastkd2
Cluster 12	Fbxo16
Cluster 12	Fbxo22
Cluster 12	Fbxo36
Cluster 12	Fcf1
Cluster 12	Fcna
Cluster 12	Fez2
Cluster 12	Fgf12
Cluster 12	Fggy
Cluster 12	Fis1
Cluster 12	Fkbp14
Cluster 12	Fkbp1a
Cluster 12	Fkbp3
Cluster 12	Fmo1
Cluster 12	Fnta
Cluster 12	Fos
Cluster 12	Frmd3
Cluster 12	Fuca2
Cluster 12	Gabarap
Cluster 12	Gabpb1
Cluster 12	Galm
Cluster 12	Galnt7
Cluster 12	Galt
Cluster 12	Gap43
Cluster 12	Gapdhs
Cluster 12	Gatm
Cluster 12	Gdpd2
Cluster 12	Gemin2
Cluster 12	Gemin6
Cluster 12	Gins4
Cluster 12	Gja4
Cluster 12	Gjb6
Cluster 12	Glb1
Cluster 12	Glmn
Cluster 12	Glo1
Cluster 12	Glod4
Cluster 12	Glrx
Cluster 12	Gna14
Cluster 12	Gnat1
Cluster 12	Gng8
Cluster 12	Golt1b
Cluster 12	Gpx1
Cluster 12	Gpx8
Cluster 12	Grifin
Cluster 12	Grpel1
Cluster 12	Gskip
Cluster 12	Gsta1
Cluster 12	Gsta4
Cluster 12	Gstm6
Cluster 12	Gstt1
Cluster 12	Gucy1b3
Cluster 12	H2afv
Cluster 12	H3f3b
Cluster 12	Hacd4
Cluster 12	Hacl1
Cluster 12	Hat1
Cluster 12	Hbs1l
Cluster 12	Hccs
Cluster 12	Hddc3
Cluster 12	Hfe
Cluster 12	Hibch
Cluster 12	Higd1a
Cluster 12	Higd1b
Cluster 12	Hmbs
Cluster 12	Hmces
Cluster 12	Hmgn3
Cluster 12	Hmox2
Cluster 12	Hn1l
Cluster 12	Hnrnpf
Cluster 12	Hopx
Cluster 12	Hpgds
Cluster 12	Hrc
Cluster 12	Hs6st2
Cluster 12	Hsbp1
Cluster 12	Hsd11b1
Cluster 12	Hsd17b11
Cluster 12	Hsdl2
Cluster 12	Hsp90ab1
Cluster 12	Hspa13
Cluster 12	Hspa5
Cluster 12	Htr1b
Cluster 12	Hyal3
Cluster 12	Hypk
Cluster 12	Iah1
Cluster 12	Ica1
Cluster 12	Idh1
Cluster 12	Idi1
Cluster 12	Ifi35
Cluster 12	Ifitm2
Cluster 12	Ifitm3
Cluster 12	Ift22
Cluster 12	Ift43
Cluster 12	Ik
Cluster 12	Ikzf2
Cluster 12	Il13ra1
Cluster 12	Il1rap
Cluster 12	Il2rg
Cluster 12	Ilf2
Cluster 12	Immt
Cluster 12	Inhba
Cluster 12	Insig1
Cluster 12	Irak4
Cluster 12	Isca2
Cluster 12	Isg15
Cluster 12	Itgb1bp1
Cluster 12	Itm2b
Cluster 12	Jagn1
Cluster 12	Jakmip2
Cluster 12	Jkamp
Cluster 12	Kank4
Cluster 12	Kat5
Cluster 12	Katnbl1
Cluster 12	Kcnip1
Cluster 12	Kcnj8
Cluster 12	Kcnrg
Cluster 12	Klhl5
Cluster 12	Krt71
Cluster 12	l7Rn6
Cluster 12	Lage3
Cluster 12	Lamc3
Cluster 12	Lamp5
Cluster 12	Lamtor2
Cluster 12	Lamtor5
Cluster 12	Lbhd1
Cluster 12	Lcat
Cluster 12	Lck
Cluster 12	Lcmt1
Cluster 12	Leo1
Cluster 12	Lgals5
Cluster 12	Lgals8
Cluster 12	Lix1
Cluster 12	LOC100125367
Cluster 12	LOC100910945
Cluster 12	LOC102548847
Cluster 12	LOC361016
Cluster 12	LOC363337
Cluster 12	LOC497899
Cluster 12	LOC501110
Cluster 12	LOC619574
Cluster 12	LOC683722
Cluster 12	LOC683897
Cluster 12	LOC688869
Cluster 12	LOC690918
Cluster 12	LOC691995
Cluster 12	Lpxn
Cluster 12	Lrrc27
Cluster 12	Lrrtm3
Cluster 12	Lsm3
Cluster 12	Lsm7
Cluster 12	Lta4h
Cluster 12	Lxn
Cluster 12	Lyz2
Cluster 12	Manbal
Cluster 12	Manf
Cluster 12	Maob
Cluster 12	Mapre1
Cluster 12	Mat2b
Cluster 12	Mccc2
Cluster 12	Mcm8
Cluster 12	Med30
Cluster 12	Mesdc2
Cluster 12	Metap1d
Cluster 12	Mettl5
Cluster 12	Mfap3
Cluster 12	MGC116197
Cluster 12	Mgst1
Cluster 12	Mis12
Cluster 12	Mis18a
Cluster 12	Mlc1
Cluster 12	Mocs2
Cluster 12	Mog
Cluster 12	Mok
Cluster 12	Mospd1
Cluster 12	Mpc1
Cluster 12	Mrfap1
Cluster 12	mrpl11
Cluster 12	Mrpl19
Cluster 12	Mrpl22
Cluster 12	Mrpl23
Cluster 12	mrpl24
Cluster 12	Mrpl35
Cluster 12	Mrpl42
Cluster 12	Mrpl45
Cluster 12	Mrpl49
Cluster 12	Mrpl50
Cluster 12	Mrpl55
Cluster 12	Mrps11
Cluster 12	Mrps14
Cluster 12	Mrps16
Cluster 12	Mrps18c
Cluster 12	Mrps22
Cluster 12	Mrto4
Cluster 12	Mrvi1
Cluster 12	Msmo1
Cluster 12	Msrb1
Cluster 12	Msrb2
Cluster 12	Mtfr1l
Cluster 12	Mtif3
Cluster 12	Mtx2
Cluster 12	Myeov2
Cluster 12	Myh11
Cluster 12	Myh3
Cluster 12	Nabp1
Cluster 12	Nans
Cluster 12	Nars
Cluster 12	Nde1
Cluster 12	Ndn
Cluster 12	Ndst3
Cluster 12	Ndufa2
Cluster 12	Ndufa5
Cluster 12	Ndufa8
Cluster 12	Ndufa9
Cluster 12	Ndufaf5
Cluster 12	Ndufaf7
Cluster 12	Ndufc2
Cluster 12	Ndufs2
Cluster 12	Ndufs3
Cluster 12	Ndufv2
Cluster 12	Nedd8
Cluster 12	Neil1
Cluster 12	Neurod6
Cluster 12	Nfs1
Cluster 12	Ngdn
Cluster 12	Nipsnap1
Cluster 12	Nmd3
Cluster 12	Nme6
Cluster 12	Nmrk1
Cluster 12	Nnmt
Cluster 12	Nol12
Cluster 12	Nostrin
Cluster 12	Nov
Cluster 12	Nqo1
Cluster 12	Nr1h4
Cluster 12	Nsdhl
Cluster 12	Nsmce1
Cluster 12	Nt5c3b
Cluster 12	Nt5dc2
Cluster 12	Ntan1
Cluster 12	Nucb2
Cluster 12	Nudcd2
Cluster 12	Nup43
Cluster 12	Nxt2
Cluster 12	Oard1
Cluster 12	Oat
Cluster 12	Ociad1
Cluster 12	Ociad2
Cluster 12	Olfml3
Cluster 12	Omg
Cluster 12	Orc6
Cluster 12	Ormdl2
Cluster 12	Oscp1
Cluster 12	Ostc
Cluster 12	Ostf1
Cluster 12	P2ry14
Cluster 12	Paics
Cluster 12	Paip2
Cluster 12	Pak1
Cluster 12	Parl
Cluster 12	Pbdc1
Cluster 12	Pcmt1
Cluster 12	Pcna
Cluster 12	Pcnp
Cluster 12	Pdcd10
Cluster 12	Pdcl3
Cluster 12	Pdhb
Cluster 12	Pdia4
Cluster 12	Pdp2
Cluster 12	Pet100
Cluster 12	Pex11b
Cluster 12	Pfdn6
Cluster 12	Pgm3
Cluster 12	Pgrmc1
Cluster 12	Phb
Cluster 12	Phkg2
Cluster 12	Phpt1
Cluster 12	Phyh
Cluster 12	Pigc
Cluster 12	Pigy
Cluster 12	Pigz
Cluster 12	Pir
Cluster 12	Pkia
Cluster 12	Pkib
Cluster 12	Pla2g7
Cluster 12	Plin2
Cluster 12	Plk2
Cluster 12	Plrg1
Cluster 12	Pls3
Cluster 12	Pmpcb
Cluster 12	Pold3
Cluster 12	Poldip2
Cluster 12	Polr1c
Cluster 12	Polr2c
Cluster 12	Polr2j
Cluster 12	Pop7
Cluster 12	Ppa1
Cluster 12	Ppapdc1b
Cluster 12	Ppid
Cluster 12	Ppie
Cluster 12	Ppil1
Cluster 12	Ppil3
Cluster 12	Ppp1r1c
Cluster 12	Ppp2r1b
Cluster 12	Ppwd1
Cluster 12	Pqlc3
Cluster 12	Prdx1
Cluster 12	Prdx4
Cluster 12	Prorsd1
Cluster 12	Prps1
Cluster 12	Prss23
Cluster 12	Prtfdc1
Cluster 12	Psat1
Cluster 12	Psenen
Cluster 12	Psma1
Cluster 12	Psma2
Cluster 12	Psma6
Cluster 12	Psmb1
Cluster 12	Psmb3
Cluster 12	Psmb6
Cluster 12	Psmc1
Cluster 12	Psmc2
Cluster 12	Psmc5
Cluster 12	Psmd1
Cluster 12	Psmd10
Cluster 12	Psmd14
Cluster 12	Psmd4
Cluster 12	Psmd5
Cluster 12	Psmd6
Cluster 12	Psme2
Cluster 12	Psmg1
Cluster 12	Psph
Cluster 12	Ptges
Cluster 12	Pvalb
Cluster 12	Qprt
Cluster 12	Rab26
Cluster 12	Rab2b
Cluster 12	Rab3ip
Cluster 12	Rab5a
Cluster 12	Rad1
Cluster 12	Ran
Cluster 12	Ranbp1
Cluster 12	Rap1b
Cluster 12	Rars2
Cluster 12	Rasl11b
Cluster 12	Rassf4
Cluster 12	Rbbp7
Cluster 12	Rbm18
Cluster 12	Rbms1
Cluster 12	Rchy1
Cluster 12	Rd3l
Cluster 12	Rdh11
Cluster 12	Rdm1
Cluster 12	Rfc2
Cluster 12	RGD1305733
Cluster 12	RGD1306063
Cluster 12	RGD1308147
Cluster 12	RGD1309730
Cluster 12	RGD1310769
Cluster 12	RGD1311805
Cluster 12	RGD1559786
Cluster 12	RGD1561849
Cluster 12	RGD1562161
Cluster 12	RGD1562747
Cluster 12	RGD1565685
Cluster 12	RGD735065
Cluster 12	Rgs4
Cluster 12	Rheb
Cluster 12	Riok2
Cluster 12	Rit1
Cluster 12	Rit2
Cluster 12	Rmnd1
Cluster 12	Rnf25
Cluster 12	Rpain
Cluster 12	Rpn1
Cluster 12	Rpp14
Cluster 12	Rsl24d1
Cluster 12	RT1-M3-1
Cluster 12	RT1-M6-2
Cluster 12	Rtp4
Cluster 12	Rwdd2a
Cluster 12	Rwdd3
Cluster 12	Sar1b
Cluster 12	Sarnp
Cluster 12	Scfd1
Cluster 12	Scg5
Cluster 12	Scgn
Cluster 12	Scoc
Cluster 12	Scp2
Cluster 12	Scpep1
Cluster 12	Sdc2
Cluster 12	Sdf4
Cluster 12	Sec13
Cluster 12	Selk
Cluster 12	Serpine2
Cluster 12	Serping1
Cluster 12	Serpini1
Cluster 12	Sf3a3
Cluster 12	Sfr1
Cluster 12	Slc22a6
Cluster 12	Slc22a8
Cluster 12	Slc25a17
Cluster 12	Slc25a20
Cluster 12	Slc25a3
Cluster 12	Slc38a5
Cluster 12	Slc5a5
Cluster 12	Slc7a3
Cluster 12	Slco1a2
Cluster 12	Slmo2
Cluster 12	Smc3
Cluster 12	Smu1
Cluster 12	Smyd3
Cluster 12	Snapin
Cluster 12	Snd1
Cluster 12	Snrnp35
Cluster 12	Snrpa1
Cluster 12	Sod2
Cluster 12	Sp110
Cluster 12	Spag5
Cluster 12	Spata24
Cluster 12	Spcs2
Cluster 12	Spn
Cluster 12	Spon2
Cluster 12	Spp1
Cluster 12	Srfbp1
Cluster 12	Srp19
Cluster 12	Srp54a
Cluster 12	St6galnac3
Cluster 12	Stam2
Cluster 12	Stap2
Cluster 12	Stbd1
Cluster 12	Stk3
Cluster 12	Stk32a
Cluster 12	Stoml2
Cluster 12	Sub1
Cluster 12	Sucla2
Cluster 12	Suclg1
Cluster 12	Sult1a1
Cluster 12	Sumo1
Cluster 12	Sumo2
Cluster 12	Syt10
Cluster 12	Tac1
Cluster 12	Tacc3
Cluster 12	Tada1
Cluster 12	Taf12
Cluster 12	Taf1a
Cluster 12	Tagln3
Cluster 12	Tars
Cluster 12	Tbpl1
Cluster 12	Tceb1
Cluster 12	Tcp1
Cluster 12	Tdrkh
Cluster 12	Tefm
Cluster 12	Tfam
Cluster 12	Tfpt
Cluster 12	Tgm2
Cluster 12	Thbs2
Cluster 12	Thrsp
Cluster 12	Thumpd3
Cluster 12	Ticam2
Cluster 12	Timm17a
Cluster 12	Timm21
Cluster 12	Timm22
Cluster 12	Timm8b
Cluster 12	Timmdc1
Cluster 12	Tinf2
Cluster 12	Tlr3
Cluster 12	Tm2d1
Cluster 12	Tma7
Cluster 12	Tmbim4
Cluster 12	Tmed10
Cluster 12	Tmem126a
Cluster 12	Tmem126b
Cluster 12	Tmem138
Cluster 12	Tmem159
Cluster 12	Tmem177
Cluster 12	Tmem178a
Cluster 12	Tmem181
Cluster 12	Tmem183a
Cluster 12	Tmem218
Cluster 12	Tmem242
Cluster 12	Tmem60
Cluster 12	Tmem9b
Cluster 12	Tmlhe
Cluster 12	Tmod3
Cluster 12	Tmod4
Cluster 12	Tmsbl1
Cluster 12	Tmx1
Cluster 12	Tnfaip6
Cluster 12	Tnfsf15
Cluster 12	Tnfsf4
Cluster 12	Tnip2
Cluster 12	Tnnt2
Cluster 12	Top2a
Cluster 12	Tor3a
Cluster 12	Tpd52l1
Cluster 12	Tpm4
Cluster 12	Tpmt
Cluster 12	Traf3ip3
Cluster 12	Traip
Cluster 12	Trappc1
Cluster 12	Trappc13
Cluster 12	Trappc4
Cluster 12	Trim55
Cluster 12	Trmt12
Cluster 12	Tspan6
Cluster 12	Tspan8
Cluster 12	Tssc1
Cluster 12	Ttc33
Cluster 12	Ttk
Cluster 12	Txndc9
Cluster 12	U2af1
Cluster 12	U2af1l4
Cluster 12	Uba2
Cluster 12	Ube2l6
Cluster 12	Ube2v2
Cluster 12	Ubl4a
Cluster 12	Ubxn8
Cluster 12	Uchl3
Cluster 12	Ufc1
Cluster 12	Ufd1l
Cluster 12	Ufm1
Cluster 12	Utp11l
Cluster 12	Uxt
Cluster 12	Vamp7
Cluster 12	Vamp8
Cluster 12	Vcp
Cluster 12	Vdac3
Cluster 12	Veph1
Cluster 12	Vip
Cluster 12	Vmp1
Cluster 12	Vps29
Cluster 12	Vps41
Cluster 12	Vstm5
Cluster 12	Vta1
Cluster 12	Wdr12
Cluster 12	Wdr31
Cluster 12	Wdr54
Cluster 12	Wdr55
Cluster 12	Wdr83os
Cluster 12	Wls
Cluster 12	Xbp1
Cluster 12	Xrcc5
Cluster 12	Ywhab
Cluster 12	Zcchc12
Cluster 12	Zcchc17
Cluster 12	Zdhhc6
Cluster 12	Zfand6
Cluster 12	Zfp3
Cluster 12	Zfp37
Cluster 12	Zfp386
Cluster 12	Zfp418
Cluster 12	Zfp51
Cluster 12	Zfp637
Cluster 12	Zfp706
Cluster 12	Zfp772
Cluster 13	Abca5
Cluster 13	Abcd3
Cluster 13	Acot1
Cluster 13	Acvr2a
Cluster 13	Acyp2
Cluster 13	Adam1a
Cluster 13	Adam4
Cluster 13	Adamtsl3
Cluster 13	Adcy10
Cluster 13	Adgrg2
Cluster 13	Adh6
Cluster 13	Adra2c
Cluster 13	Agfg1
Cluster 13	Agmo
Cluster 13	Ago3
Cluster 13	Ago4
Cluster 13	Agps
Cluster 13	Ahnak
Cluster 13	Akap10
Cluster 13	Aldh6a1
Cluster 13	Alg6
Cluster 13	Ammecr1l
Cluster 13	Ankrd10
Cluster 13	Ankrd32
Cluster 13	Ankrd44
Cluster 13	Anks1b
Cluster 13	Ano6
Cluster 13	Ap1ar
Cluster 13	Ap4e1
Cluster 13	Ap5m1
Cluster 13	Arap2
Cluster 13	Arhgap12
Cluster 13	Arhgap17
Cluster 13	Arhgap18
Cluster 13	Arhgap24
Cluster 13	Arih1
Cluster 13	Arpp21
Cluster 13	Arr3
Cluster 13	Asah2
Cluster 13	Atg16l1
Cluster 13	Atm
Cluster 13	Atp1a2
Cluster 13	Atp7a
Cluster 13	B3galt2
Cluster 13	B4galt6
Cluster 13	Bcl10
Cluster 13	Bet1
Cluster 13	Bivm
Cluster 13	Bmpr1a
Cluster 13	Bmpr2
Cluster 13	Bora
Cluster 13	Brox
Cluster 13	Btaf1
Cluster 13	Btbd3
Cluster 13	C2cd5
Cluster 13	Capns2
Cluster 13	Car8
Cluster 13	Casc5
Cluster 13	Casp4
Cluster 13	Catsperg1
Cluster 13	Cav2
Cluster 13	Ccdc175
Cluster 13	Ccne2
Cluster 13	Ccng2
Cluster 13	Ccnl1
Cluster 13	Ccnt2
Cluster 13	Cd2ap
Cluster 13	Cd44
Cluster 13	Cdh10
Cluster 13	Cdh7
Cluster 13	Cdh9
Cluster 13	Cdhr1
Cluster 13	Cdk12
Cluster 13	Cdk17
Cluster 13	Cdk8
Cluster 13	Cebpa
Cluster 13	Cebpb
Cluster 13	Cep112
Cluster 13	Cep78
Cluster 13	Cfap52
Cluster 13	Cfp
Cluster 13	Cggbp1
Cluster 13	Chek1
Cluster 13	Chmp4bl1
Cluster 13	Chuk
Cluster 13	Clec2g
Cluster 13	Clic2
Cluster 13	Clk1
Cluster 13	Cnot6
Cluster 13	Cnot6l
Cluster 13	Cnot7
Cluster 13	Cnr1
Cluster 13	Cntn3
Cluster 13	Cntn6
Cluster 13	Col11a1
Cluster 13	Col5a2
Cluster 13	Colec12
Cluster 13	Copb1
Cluster 13	Cox18
Cluster 13	Cox6c
Cluster 13	Cox8b
Cluster 13	Cp
Cluster 13	Cpm
Cluster 13	Crabp2
Cluster 13	Crebzf
Cluster 13	Crls1
Cluster 13	Csnk1g3
Cluster 13	Csnk2a2
Cluster 13	Csrnp2
Cluster 13	Cstf2t
Cluster 13	Ctbs
Cluster 13	Cttnbp2
Cluster 13	Cxxc4
Cluster 13	Cyp2j4
Cluster 13	Cyyr1
Cluster 13	Dcaf10
Cluster 13	Dcdc2
Cluster 13	Dclre1c
Cluster 13	Dcx
Cluster 13	Ddhd1
Cluster 13	Ddr2
Cluster 13	Ddx3
Cluster 13	Dhx15
Cluster 13	Dhx9
Cluster 13	Dlg2
Cluster 13	Dmc1
Cluster 13	Dnajb12
Cluster 13	Dnttip1
Cluster 13	Dock11
Cluster 13	Donson
Cluster 13	Dpp10
Cluster 13	Dpp4
Cluster 13	Drc1
Cluster 13	Drd1
Cluster 13	Dse
Cluster 13	Dusp19
Cluster 13	Dyrk2
Cluster 13	Edrf1
Cluster 13	Efcab7
Cluster 13	Efemp1
Cluster 13	Efhc1
Cluster 13	Eif2ak4
Cluster 13	Elavl2
Cluster 13	Eml5
Cluster 13	Emp1
Cluster 13	Epb41l4b
Cluster 13	Erap1
Cluster 13	Fam120a
Cluster 13	Fam135a
Cluster 13	Fam178a
Cluster 13	Fam196a
Cluster 13	Fam55b
Cluster 13	Fam8a1
Cluster 13	Fbn1
Cluster 13	Fcho2
Cluster 13	Fchsd2
Cluster 13	Fdx1
Cluster 13	Fgd4
Cluster 13	Fgl2
Cluster 13	Fn1
Cluster 13	Fnip1
Cluster 13	Fras1
Cluster 13	Frzb
Cluster 13	G2e3
Cluster 13	Gabpa
Cluster 13	Gabra1
Cluster 13	Gabrg1
Cluster 13	Gad1
Cluster 13	Gas5
Cluster 13	Gcnt1
Cluster 13	Ggact
Cluster 13	Ghr
Cluster 13	Giot1
Cluster 13	Gja1
Cluster 13	Gjb2
Cluster 13	Gnpnat1
Cluster 13	Golga7
Cluster 13	Gpr149
Cluster 13	Gpr21
Cluster 13	Gpr52
Cluster 13	Gpr88
Cluster 13	Grasp
Cluster 13	Grb10
Cluster 13	Gria4
Cluster 13	Grm1
Cluster 13	Gulp1
Cluster 13	Gusb
Cluster 13	Hace1
Cluster 13	Has1
Cluster 13	Hdgfrp3
Cluster 13	Heca
Cluster 13	Hectd2
Cluster 13	Heph
Cluster 13	Hfm1
Cluster 13	Hipk1
Cluster 13	Hivep2
Cluster 13	Hltf
Cluster 13	Hnrnpa3
Cluster 13	Hnrnpd
Cluster 13	Hpse
Cluster 13	Hspa4
Cluster 13	Htr2c
Cluster 13	Ifi44
Cluster 13	Igsf1
Cluster 13	Igsf11
Cluster 13	Il16
Cluster 13	Il1rapl1
Cluster 13	Inpp4b
Cluster 13	Ipo7
Cluster 13	Iqub
Cluster 13	Ireb2
Cluster 13	Irs2
Cluster 13	Itga8
Cluster 13	Itgb8
Cluster 13	Itgbl1
Cluster 13	Jag1
Cluster 13	Kcnc2
Cluster 13	Kcnh5
Cluster 13	Kcnh7
Cluster 13	Kcnk2
Cluster 13	Kcnt2
Cluster 13	Kctd1
Cluster 13	Kctd8
Cluster 13	Kdm1a
Cluster 13	Khdrbs1
Cluster 13	Khdrbs2
Cluster 13	Klf10
Cluster 13	Klhl14
Cluster 13	Klhl28
Cluster 13	Klhl29
Cluster 13	Klhl7
Cluster 13	Klhl9
Cluster 13	Lats1
Cluster 13	Lemd3
Cluster 13	Lepr
Cluster 13	Lgr4
Cluster 13	Lifr
Cluster 13	Lin54
Cluster 13	Lmln
Cluster 13	LOC100125362
Cluster 13	LOC100911177
Cluster 13	LOC102552805
Cluster 13	LOC252890
Cluster 13	LOC257650
Cluster 13	LOC310926
Cluster 13	LOC498265
Cluster 13	LOC499602
Cluster 13	LOC654482
Cluster 13	LOC685406
Cluster 13	LOC691931
Cluster 13	Lpar4
Cluster 13	Lppr4
Cluster 13	Lrp12
Cluster 13	Lrp1b
Cluster 13	Lrp4
Cluster 13	Lrrc16a
Cluster 13	Lrrc39
Cluster 13	Lrrc4
Cluster 13	Lrrc71
Cluster 13	Lrrc9
Cluster 13	Lrrk2
Cluster 13	Lrrtm2
Cluster 13	Lrrtm4
Cluster 13	Lsm14a
Cluster 13	Ltbp3
Cluster 13	Ltk
Cluster 13	Luc7l2
Cluster 13	Lyst
Cluster 13	Magee1
Cluster 13	Magoh
Cluster 13	Mal2
Cluster 13	Man2a1
Cluster 13	Manea
Cluster 13	Map4k3
Cluster 13	Mapk8
Cluster 13	Marcks
Cluster 13	Masp2
Cluster 13	Mcam
Cluster 13	Mdfic
Cluster 13	Me1
Cluster 13	Mecom
Cluster 13	Med23
Cluster 13	Meis2
Cluster 13	Mex3b
Cluster 13	Mex3c
Cluster 13	Mgp
Cluster 13	Mid2
Cluster 13	Mir2985
Cluster 13	Mir344i
Cluster 13	Mis18bp1
Cluster 13	Mki67
Cluster 13	Mlh3
Cluster 13	Mob1b
Cluster 13	Mon2
Cluster 13	Mospd2
Cluster 13	Mpp4
Cluster 13	Mpzl2
Cluster 13	Mrc1
Cluster 13	Mss51
Cluster 13	Mtfr2
Cluster 13	Myt1
Cluster 13	Ndufa10l1
Cluster 13	Nek1
Cluster 13	Neu2
Cluster 13	Nf1
Cluster 13	Nfat5
Cluster 13	Nid2
Cluster 13	Noa1
Cluster 13	Nol4
Cluster 13	Npas2
Cluster 13	Npm1
Cluster 13	Npy1r
Cluster 13	Nrarp
Cluster 13	Nrip1
Cluster 13	Nt5e
Cluster 13	Nup160
Cluster 13	Nup205
Cluster 13	Nup98
Cluster 13	Nus1
Cluster 13	Ogt
Cluster 13	Olfm3
Cluster 13	Olr1193
Cluster 13	Olr59
Cluster 13	Orc3
Cluster 13	Osbp
Cluster 13	Otud4
Cluster 13	Oxsr1
Cluster 13	Pafah1b1
Cluster 13	Paip1
Cluster 13	Pank2
Cluster 13	Pank3
Cluster 13	Papd4
Cluster 13	Papd5
Cluster 13	Papd7
Cluster 13	Papolg
Cluster 13	Parg
Cluster 13	Pax6
Cluster 13	Pcdh20
Cluster 13	Pcdhb20
Cluster 13	Pcgf6
Cluster 13	Pcmtd2
Cluster 13	Pdcd2l
Cluster 13	Pde3b
Cluster 13	Pde5a
Cluster 13	Pde7a
Cluster 13	Pds5a
Cluster 13	Pdzrn3
Cluster 13	Per2
Cluster 13	Pex13
Cluster 13	Pgap1
Cluster 13	Phf20l1
Cluster 13	Phtf1
Cluster 13	Pign
Cluster 13	Pik3c2a
Cluster 13	Pip5k1b
Cluster 13	Pkd2
Cluster 13	Plch1
Cluster 13	Plekha8
