Geneid,Genename,MDD.dACC.log2FoldChange,MDD.dACC.padj
ENSG00000146109,ABT1,-0.100233806,0.373825013
ENSG00000114626,ABTB1,0.047461226,0.784022962
ENSG00000166016,ABTB2,-0.016951569,0.971009081
ENSG00000060971,ACAA1,0.031282033,0.800341648
ENSG00000167315,ACAA2,-0.112648705,0.689584029
ENSG00000278540,ACACA,0.008158346,0.963833983
ENSG00000076555,ACACB,-0.168218473,0.684819838
ENSG00000111271,ACAD10,-0.098856134,0.372140673
ENSG00000151498,ACAD8,0.059124241,0.483332661
ENSG00000177646,ACAD9,0.012711407,0.929783797
ENSG00000115361,ACADL,-0.103507776,0.529327512
ENSG00000117054,ACADM,-0.135391289,0.078229175
ENSG00000122971,ACADS,-0.018072259,0.972466201
ENSG00000196177,ACADSB,0.011919794,0.968696129
ENSG00000072778,ACADVL,0.10674569,0.539486779
ENSG00000157766,ACAN,0.10511894,0.88567283
ENSG00000072818,ACAP1,0.255572014,0.168883228
ENSG00000114331,ACAP2,-0.004078569,0.985831779
ENSG00000131584,ACAP3,0.069227312,0.708184211
ENSG00000075239,ACAT1,-0.059771517,0.588473861
ENSG00000120437,ACAT2,-0.030144252,0.956244827
ENSG00000182827,ACBD3,-0.093328764,0.288418517
ENSG00000181513,ACBD4,0.056552394,0.817530017
ENSG00000107897,ACBD5,-0.134902999,0.078229175
ENSG00000230124,ACBD6,0.01162192,0.946218288
ENSG00000176244,ACBD7,-0.114637354,0.815885504
ENSG00000110455,ACCS,0.039342505,0.915716351
ENSG00000102977,ACD,0.06391612,0.667827232
ENSG00000159640,ACE,0.080997038,0.718327292
ENSG00000177076,ACER2,-0.007281657,0.990407769
ENSG00000078124,ACER3,-0.014500063,0.964188594
ENSG00000087085,ACHE,0.062569466,0.796962298
ENSG00000100813,ACIN1,-0.066218904,0.659316139
ENSG00000213088,ACKR1,0.47189802,0.041842659
ENSG00000144476,ACKR3,-0.121503726,0.711199101
ENSG00000129048,ACKR4,0.396851255,0.037853796
ENSG00000131473,ACLY,0.002997706,0.993363567
ENSG00000153086,ACMSD,-0.124486122,0.692571114
ENSG00000122729,ACO1,0.036807932,0.838658932
ENSG00000100412,ACO2,-0.063027581,0.494714621
ENSG00000184227,ACOT1,-0.178040269,0.758411284
ENSG00000162390,ACOT11,0.01807822,0.976826951
ENSG00000112304,ACOT13,-0.098426163,0.233374241
ENSG00000119673,ACOT2,-0.05360202,0.797961692
ENSG00000177465,ACOT4,-0.053846188,0.82397729
ENSG00000205669,ACOT6,-0.006058431,0.99396059
ENSG00000097021,ACOT7,0.059629345,0.873059131
ENSG00000101473,ACOT8,-0.065640542,0.502069631
ENSG00000123130,ACOT9,-0.020865858,0.894793201
ENSG00000161533,ACOX1,-0.022225341,0.910002488
ENSG00000168306,ACOX2,-0.071740414,0.867568055
ENSG00000087008,ACOX3,0.05184632,0.451681658
ENSG00000143727,ACP1,0.022152547,0.958352547
ENSG00000134575,ACP2,0.011689546,0.956356644
ENSG00000142513,ACP4,0.191483062,0.526996973
ENSG00000102575,ACP5,-0.226377962,0.633422671
ENSG00000162836,ACP6,-0.016509454,0.975586106
ENSG00000183760,ACP7,-0.09239545,0.909346704
ENSG00000134940,ACRV1,0.093493843,0.865590869
ENSG00000103740,ACSBG1,-0.176426993,0.58871548
ENSG00000130377,ACSBG2,0.165992252,0.598797159
ENSG00000167107,ACSF2,-0.070472262,0.875256562
ENSG00000176715,ACSF3,-0.009793578,0.971818191
ENSG00000151726,ACSL1,0.049102309,0.86218732
ENSG00000123983,ACSL3,-0.031379018,0.91507122
ENSG00000068366,ACSL4,0.019364026,0.978573429
ENSG00000197142,ACSL5,0.306579756,0.51503158
ENSG00000164398,ACSL6,-0.035943755,0.815885504
ENSG00000215009,ACSM4,0.138656229,0.834612692
ENSG00000183549,ACSM5,-0.351509735,0.282841233
ENSG00000173124,ACSM6,-0.105515645,0.811397139
ENSG00000154930,ACSS1,-0.21896809,0.539800638
ENSG00000131069,ACSS2,0.060423797,0.633523491
ENSG00000111058,ACSS3,-0.043717093,0.928402514
ENSG00000143632,ACTA1,0.182930617,0.668252097
ENSG00000107796,ACTA2,-0.057316073,0.964188594
ENSG00000075624,ACTB,0.047808191,0.792439653
ENSG00000159251,ACTC1,0.170448919,0.684819838
ENSG00000184009,ACTG1,0.060295345,0.671315851
ENSG00000163017,ACTG2,0.166848726,0.919140022
ENSG00000182584,ACTL10,-0.03142816,0.961620923
ENSG00000136518,ACTL6A,-0.097612554,0.684819838
ENSG00000077080,ACTL6B,0.043840626,0.916098635
ENSG00000072110,ACTN1,0.143206302,0.191584612
ENSG00000077522,ACTN2,0.048212864,0.836589222
ENSG00000248746,ACTN3,0.238355193,0.448758327
ENSG00000130402,ACTN4,-0.073922032,0.692571114
ENSG00000131966,ACTR10,-0.016963819,0.97714593
ENSG00000138107,ACTR1A,0.00793118,0.976826951
ENSG00000115073,ACTR1B,0.025495417,0.903655138
ENSG00000138071,ACTR2,-0.014936194,0.975994777
ENSG00000115091,ACTR3,-0.00740714,0.984275521
ENSG00000133627,ACTR3B,-0.007672982,0.985312195
ENSG00000106526,ACTR3C,0.019398112,0.966291909
ENSG00000101442,ACTR5,0.115467572,0.220643169
ENSG00000075089,ACTR6,-0.124453238,0.718180273
ENSG00000113812,ACTR8,-0.073088239,0.490949263
ENSG00000184378,ACTRT3,-0.272762952,0.539800638
ENSG00000115170,ACVR1,-0.184245631,0.225723446
ENSG00000135503,ACVR1B,0.106564154,0.260032733
ENSG00000123612,ACVR1C,-0.020627129,0.972102157
ENSG00000121989,ACVR2A,-0.040081496,0.889508281
ENSG00000114739,ACVR2B,-0.002669798,0.990292981
ENSG00000139567,ACVRL1,0.164534286,0.745949567
ENSG00000243989,ACY1,0.045792108,0.945011961
ENSG00000132744,ACY3,-0.699039608,0.257488284
ENSG00000119640,ACYP1,0.061859315,0.690557995
ENSG00000170634,ACYP2,-0.052787661,0.591959232
ENSG00000196839,ADA,0.31939036,0.187921669
ENSG00000093072,ADA2,-0.082450625,0.761232848
ENSG00000168803,ADAL,-0.006434264,0.985141131
ENSG00000137845,ADAM10,-0.053564431,0.707605071
ENSG00000073670,ADAM11,0.077797132,0.60733365
ENSG00000148848,ADAM12,0.177427198,0.427664
ENSG00000143537,ADAM15,0.1536225,0.392730732
ENSG00000151694,ADAM17,0.086721886,0.54309274
ENSG00000135074,ADAM19,0.077396888,0.67921713
ENSG00000134007,ADAM20,0.170600472,0.289043968
ENSG00000139985,ADAM21,0.163890186,0.397452138
ENSG00000008277,ADAM22,0.041936259,0.932121028
ENSG00000114948,ADAM23,0.075978756,0.831593278
ENSG00000042980,ADAM28,-0.046257207,0.956830649
ENSG00000197140,ADAM32,0.131706196,0.484323472
ENSG00000149451,ADAM33,-0.164664892,0.697253583
ENSG00000151651,ADAM8,0.069500135,0.849499807
ENSG00000168615,ADAM9,0.030900312,0.851119983
ENSG00000154734,ADAMTS1,-0.018199336,0.988354706
ENSG00000142303,ADAMTS10,0.036467487,0.916098635
ENSG00000160323,ADAMTS13,0.147731102,0.212639889
ENSG00000138316,ADAMTS14,0.066433564,0.9455997
ENSG00000166106,ADAMTS15,-0.015573885,0.983526705
ENSG00000145536,ADAMTS16,0.10756776,0.620343371
ENSG00000140470,ADAMTS17,-0.05798215,0.890430567
ENSG00000145808,ADAMTS19,0.022309416,0.951314688
ENSG00000087116,ADAMTS2,0.509207141,0.00041325
ENSG00000156140,ADAMTS3,0.080858214,0.820690703
ENSG00000158859,ADAMTS4,0.31313941,0.490361336
ENSG00000049192,ADAMTS6,-0.100193556,0.678384837
ENSG00000136378,ADAMTS7,0.254988937,0.542030258
ENSG00000134917,ADAMTS8,-0.066231763,0.759465002
ENSG00000163638,ADAMTS9,0.905524437,0.051546069
ENSG00000178031,ADAMTSL1,-0.065464641,0.869541654
ENSG00000197859,ADAMTSL2,0.066788654,0.678384837
