Geneid,Genename,MDD.sgPFC.log2FoldChange,MDD.sgPFC.padj
ENSG00000165660,ABRAXAS2,0.251458634,0.009960975
ENSG00000146109,ABT1,-0.010700065,0.882401028
ENSG00000114626,ABTB1,-0.197626893,0.119117754
ENSG00000166016,ABTB2,-0.249921183,0.035294348
ENSG00000060971,ACAA1,-0.128446736,0.033647199
ENSG00000167315,ACAA2,0.015971026,0.912440939
ENSG00000278540,ACACA,0.018083572,0.735587112
ENSG00000076555,ACACB,-0.282951897,0.068842892
ENSG00000111271,ACAD10,-0.142010917,0.025479654
ENSG00000151498,ACAD8,0.029427704,0.543855824
ENSG00000177646,ACAD9,-0.031870859,0.352777401
ENSG00000115361,ACADL,0.000381589,0.997505827
ENSG00000117054,ACADM,0.135967768,0.053696773
ENSG00000122971,ACADS,-0.17085998,0.20843969
ENSG00000196177,ACADSB,0.250750678,0.005382283
ENSG00000072778,ACADVL,-0.148213254,0.26711909
ENSG00000157766,ACAN,0.096170449,0.67610419
ENSG00000072818,ACAP1,-0.047023198,0.749426976
ENSG00000114331,ACAP2,0.158099118,0.042519694
ENSG00000131584,ACAP3,-0.349963444,0.026445236
ENSG00000075239,ACAT1,0.156685804,0.016666319
ENSG00000120437,ACAT2,-0.009294073,0.960850322
ENSG00000182827,ACBD3,0.04806524,0.440915891
ENSG00000181513,ACBD4,-0.176359404,0.092751019
ENSG00000107897,ACBD5,0.01208236,0.882563985
ENSG00000230124,ACBD6,-0.056440134,0.209534425
ENSG00000176244,ACBD7,-0.049574219,0.78966684
ENSG00000110455,ACCS,-0.146045124,0.223238293
ENSG00000102977,ACD,-0.186092406,0.080624922
ENSG00000159640,ACE,-0.1010123,0.42847319
ENSG00000177076,ACER2,0.02621193,0.87262625
ENSG00000078124,ACER3,0.20883581,0.017283151
ENSG00000087085,ACHE,-0.181376646,0.217776033
ENSG00000100813,ACIN1,-0.121727384,0.035090636
ENSG00000213088,ACKR1,0.312685128,0.036336303
ENSG00000144476,ACKR3,-0.179126825,0.170597549
ENSG00000129048,ACKR4,0.343404963,0.06339324
ENSG00000131473,ACLY,-0.009993483,0.901702625
ENSG00000153086,ACMSD,0.102324722,0.517505925
ENSG00000122729,ACO1,0.072201165,0.543018996
ENSG00000100412,ACO2,-0.101364175,0.063151723
ENSG00000184227,ACOT1,-0.185819571,0.404556744
ENSG00000162390,ACOT11,-0.101223329,0.481067195
ENSG00000112304,ACOT13,0.013053828,0.818344529
ENSG00000119673,ACOT2,-0.211515692,0.011956857
ENSG00000177465,ACOT4,-0.102711395,0.12315221
ENSG00000205669,ACOT6,-0.14738941,0.351540438
ENSG00000097021,ACOT7,-0.059268285,0.621185497
ENSG00000101473,ACOT8,-0.169809284,0.011834698
ENSG00000123130,ACOT9,0.019384732,0.855386005
ENSG00000161533,ACOX1,0.083597543,0.226953961
ENSG00000168306,ACOX2,-0.240772296,0.041657547
ENSG00000087008,ACOX3,-0.10167616,0.03459742
ENSG00000143727,ACP1,0.134519132,0.139155658
ENSG00000134575,ACP2,-0.076180929,0.187936196
ENSG00000142513,ACP4,-0.27953841,0.129157888
ENSG00000102575,ACP5,-0.458185693,0.019767069
ENSG00000162836,ACP6,-0.076481605,0.537222939
ENSG00000183760,ACP7,-0.031694404,0.908093022
ENSG00000134940,ACRV1,0.202356358,0.147493419
ENSG00000103740,ACSBG1,-0.278686631,0.053517998
ENSG00000130377,ACSBG2,-0.018574929,0.910203799
ENSG00000167107,ACSF2,-0.204582845,0.111503887
ENSG00000176715,ACSF3,-0.148454858,0.060377156
ENSG00000151726,ACSL1,0.179577674,0.039453772
ENSG00000123983,ACSL3,0.209844933,0.031417167
ENSG00000068366,ACSL4,0.304300545,0.106658472
ENSG00000197142,ACSL5,0.492212794,0.017341067
ENSG00000164398,ACSL6,-0.04110287,0.535988803
ENSG00000215009,ACSM4,-0.006167154,0.975047395
ENSG00000183549,ACSM5,-0.25693107,0.142515856
ENSG00000173124,ACSM6,0.067745155,0.71345164
ENSG00000154930,ACSS1,-0.414675214,0.01161609
ENSG00000131069,ACSS2,-0.053428614,0.288897164
ENSG00000111058,ACSS3,0.030859826,0.826893091
ENSG00000143632,ACTA1,-0.041722822,0.852503619
ENSG00000107796,ACTA2,-0.031310672,0.931368336
ENSG00000075624,ACTB,-0.014478747,0.933431798
ENSG00000159251,ACTC1,0.205456897,0.204024485
ENSG00000184009,ACTG1,-0.024911888,0.749351833
ENSG00000163017,ACTG2,0.035386928,0.956830937
ENSG00000182584,ACTL10,-0.253657454,0.134262838
ENSG00000136518,ACTL6A,0.121353437,0.212485563
ENSG00000077080,ACTL6B,-0.093285171,0.550580767
ENSG00000072110,ACTN1,-0.016572857,0.849327025
ENSG00000077522,ACTN2,0.020817283,0.846110983
ENSG00000248746,ACTN3,-0.164970276,0.363335719
ENSG00000130402,ACTN4,-0.160725426,0.039548987
ENSG00000131966,ACTR10,0.214037467,0.066045138
ENSG00000138107,ACTR1A,-0.030937369,0.643879477
ENSG00000115073,ACTR1B,-0.139216789,0.116773124
ENSG00000138071,ACTR2,0.305262302,0.012599394
ENSG00000115091,ACTR3,0.252263987,0.011882822
ENSG00000133627,ACTR3B,-0.01857498,0.904357301
ENSG00000106526,ACTR3C,0.010883803,0.935263343
ENSG00000101442,ACTR5,-0.004230663,0.950042843
ENSG00000075089,ACTR6,0.376622264,0.011995135
ENSG00000113812,ACTR8,0.03903013,0.587762089
ENSG00000184378,ACTRT3,-0.013397339,0.948801516
ENSG00000115170,ACVR1,-0.217537655,0.011935905
ENSG00000135503,ACVR1B,0.093954021,0.110315594
ENSG00000123612,ACVR1C,0.223216432,0.182128618
ENSG00000121989,ACVR2A,0.242846209,0.01788886
ENSG00000114739,ACVR2B,0.013998699,0.799085561
ENSG00000139567,ACVRL1,-0.021695072,0.924123245
ENSG00000243989,ACY1,-0.273252596,0.04034391
ENSG00000132744,ACY3,-0.751759351,0.030928013
